name,country,capacity_mw
Lingen Green Hydrogen (GET H2),DE,100
Refhyne I Wesseling,DE,10
Refhyne II Wesseling,DE,100
Bad Lauchstädt Energy Park,DE,30
Hamburg Green Hydrogen Hub,DE,100
HySynGas Leuna,DE,24
Hybit Bremen,DE,10
Westküste 100 Heide,DE,30
Normand'Hy Port-Jérôme,FR,200
Masshylia La Mède,FR,40
HYVENCE Fos-sur-Mer,FR,500
HyAMMED Fos,FR,20
Puertollano Green H2 Plant,ES,20
HyDeal España Asturias,ES,500
Catalina Aragon Project,ES,250
Bilbao Port Electrolyzer,ES,100
Cartagena Green Hydrogen Hub,ES,100
Holland Hydrogen I Rotterdam,NL,200
NortH2 Eemshaven Phase 1,NL,1000
H2ermes IJmuiden,NL,100
Djewels Delfzijl,NL,20
Gigastack Humber,GB,100
Trafford Green Hydrogen,GB,200
Teesside Green Hydrogen,GB,80
Whitelee Windfarm H2,GB,20
Hybrit Luleå,SE,500
H2 Green Steel Boden,SE,700
Hellesylt Hydrogen Hub,NO,20
Herøya Industrial Park,NO,24
HySynergy Fredericia,DK,20
HySynergy Phase II Fredericia,DK,300
Harjavalta Hydrogen Plant,FI,20
Kristinestad e-Methane,FI,200
GreenH2 Atlantic Sines,PT,100
Murchison Renewable Hydrogen,AU,1500
NEOM Green Hydrogen,SA,2200
Bécancour Electrolyzer,CA,20
Woodside H2OK Oklahoma,US,90
Ascent Hydrogen Texas,US,120
Apex Green Hydrogen Rostock,DE,100
